file	outcome	sheets	cells
poi/63934.xlsx	ok	2	14
poi/64450.xlsx	ok	2	16
poi/64508.xlsx	ok	1	35
poi/64667.xlsx	ok	1	35
poi/64750.xlsx	ok	2	11
poi/64759.xlsx	ok	1	9
poi/65016.xlsx	ok	3	378780
poi/66365.xlsx	ok	1	4
poi/70005-countifs.xlsx	ok	1	13
poi/absolute-anchor-over-empty-sheet.xlsx	ok	1	0
poi/AmpersandHeader.xlsx	ok	3	0
poi/atp.xlsx	ok	1	14
poi/AverageTaxRates.xlsx	ok	3	1448
poi/Booleans.xlsx	ok	3	12
poi/BrNotClosed.xlsx	ok	3	0
poi/bug54803.xlsx	ok	3	1
poi/bug60848_sumproduct_unary_minus.xlsx	ok	1	2
poi/bug60858.xlsx	ok	1	375
poi/bug62181.xlsx	ok	1	175095
poi/bug63189.xlsx	ok	4	1
poi/bug64512_embed.xlsx	ok	1	0
poi/bug65306.xlsx	ok	1	4
poi/bug65464.xlsx	ok	1	759
poi/bug66215.xlsx	ok	1	31
poi/bug66675.xlsx	ok	2	7478
poi/bug66682.xlsb	zuxlsx_unsupported_format_error	0	0
poi/bug66827.xlsx	ok	1	6
poi/bug67784.xlsx	ok	1	10
poi/bug69769.xlsx	ok	1	4
poi/bug69812.xlsx	ok	1	1
poi/chart_sheet.xlsx	ok	4	10
poi/chartTitle_noTitle.xlsx	ok	1	8
poi/chartTitle_withTitle.xlsx	ok	1	8
poi/chartTitle_withTitleFormula.xlsx	ok	1	11
poi/clone_sheet.xlsx	ok	3	322
poi/clusterfuzz-testcase-minimized-POIFuzzer-5040805309710336.xlsx	zuxlsx_ooxml_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-4828727001088000.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-5089447305609216.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-5185049589579776.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-5265527465181184.xlsx	ok	2	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-5937385319563264.xlsx	ok	12	3677
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-6123461607817216.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-6419366255919104.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-POIXSSFFuzzer-6448258963341312.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5025401116950528.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5542865479270400.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5636439151607808.xlsx	zuxlsx_zip_error	0	0
poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-6504225896792064.xlsx	zuxlsx_zip_error	0	0
